Filepath,Object,Materials
GeoFiles/Class_Jewlery/Class_Bracelets/OBJ_Plain_bangle_thin,Plain_bangle_thin,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Bracelets/OBJ_Plain_bangle,Plain_bangle,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Flat_signet_ring,Flat_signet_ring,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Wedding_band_male,Wedding_band_male,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Flat_ring,Flat_ring,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Wedding_band_female,Wedding_band_female,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Signet_ring,Signet_ring,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Engagement_ring_claw,Engagement_ring_claw,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Rings/OBJ_Engagement_ring_hope,Engagement_ring_hope,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Rectangle_pendant,Rectangle_pendant,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Cross_with_bail,Cross_with_bail,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Cross,Cross,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Oval_pendant,Oval_pendant,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Heart_pendant,Heart_pendant,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Soverign_pendant_with_bail,Soverign_pendant_with_bail,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Pendants/OBJ_Soverign_pendant,Soverign_pendant,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Thick_270_hoop_single,Thick_270_hoop_single,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Stud_earings_single,Stud_earings_single,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Large_gen_earings_single,Large_gen_earings_single,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Large_bar,Large_bar,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Ring_with_ball,Ring_with_ball,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Curved_bar_270,Curved_bar_270,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Flat_end_bar,Flat_end_bar,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Curved_bar,Curved_bar,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Regular_bar,Regular_bar,Au;Ag;Pl
GeoFiles/Class_Coins/Class_British_Coins/OBJ_One_Pound,One_Pound,[BN;CN84]
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Twenty_p,Twenty_p,CN84
GeoFiles/Class_Coins/Class_British_Coins/OBJ_One_p_pre,One_p_pre,CZ97
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Fifty_p,Fifty_p,CN75
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Five_p_pre,Five_p_pre,CN75
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Two_Pound,Two_Pound,[CN75;CZ76]
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Ten_p_pre,Ten_p_pre,CN75
GeoFiles/Class_Coins/Class_British_Coins/OBJ_Two_p_pre,Two_p_pre,CZ97
GeoFiles/Class_Tools/Class_Scissors/OBJ_Cheap_partial_tang_scissors,Cheap_partial_tang_scissors,S200;S300;S440
GeoFiles/Class_Tools/Class_Scissors/OBJ_Hair_dressing_scissors,Hair_dressing_scissors,S200;S300;S440
GeoFiles/Class_Jewlery/Class_Watches/OBJ_Leather_band_watch_man,Leather_band_watch_man,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Watches/OBJ_Link_band_rectangle_watch_female,Link_band_rectangle_watch_female,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Watches/OBJ_Link_band_watch_man,Link_band_watch_man,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Watches/OBJ_Link_band_watch_female,Link_band_watch_female,Au;Ag;Pl
GeoFiles/Class_Clothing/Class_Belt_Buckle/OBJ_Buckle_with_loop,Buckle_with_loop,Br;S300;S440;Ti
GeoFiles/Class_Clothing/Class_Belt_Buckle/OBJ_Box_design_buckle,Box_design_buckle,Br;S300;S440;Ti
GeoFiles/Class_Clothing/Class_Belt_Buckle/OBJ_Flat_buckle,Flat_buckle,Br;S300;S440;Ti
GeoFiles/Class_Clothing/Class_Shoe_shank/OBJ_Flat_shank_indent,Flat_shank_indent,SC
GeoFiles/Class_Clothing/Class_Shoe_shank/OBJ_Flat_shank,Flat_shank,SC
GeoFiles/Class_Clothing/Class_Shoe_shank/OBJ_High_heel_shank,High_heel_shank,SC
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Stud_earings,Stud_earings, 
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Large_gem_earings,Large_gem_earings, 
GeoFiles/Class_Jewlery/Class_Earings/OBJ_Thick_270_hoop,Thick_270_hoop, 
